age,height,weight,experience,passing_yards,td_passes,interceptions,passes_attempted,completion_percentage,yards_per_attempt,passer_rating,passing_yards_roll3,td_passes_roll3,passes_attempted_roll3,td_rate_roll3,completion_rate_roll3,threw_td
33.0,74.0,225.0,13.0,213.0,1.0,1.0,31.0,64.5,6.9,81.8,213.0,1.0,31.0,0.03225806451612903,0.645,1
33.0,74.0,225.0,13.0,213.0,1.0,1.0,31.0,64.5,6.9,81.8,213.0,1.0,31.0,0.03225806451612903,0.645,1
33.0,74.0,225.0,13.0,213.0,1.0,1.0,31.0,64.5,6.9,81.8,213.0,1.0,31.0,0.03225806451612903,0.645,1
33.0,74.0,225.0,13.0,152.0,1.0,1.0,20.0,70.0,7.6,87.9,213.0,1.0,31.0,0.03225806451612903,0.645,1
33.0,74.0,225.0,13.0,152.0,1.0,1.0,20.0,70.0,7.6,87.9,192.66666666666666,1.0,27.333333333333332,0.038172043010752686,0.6633333333333333,1
33.0,74.0,225.0,13.0,152.0,1.0,1.0,20.0,70.0,7.6,87.9,172.33333333333334,1.0,23.666666666666668,0.04408602150537635,0.6816666666666666,1
33.0,74.0,225.0,13.0,152.0,1.0,1.0,20.0,70.0,7.6,87.9,152.0,1.0,20.0,0.05,0.7,1
33.0,74.0,225.0,13.0,180.0,1.0,2.0,31.0,74.2,5.8,72.0,152.0,1.0,20.0,0.05,0.7,1
33.0,74.0,225.0,13.0,180.0,1.0,2.0,31.0,74.2,5.8,72.0,161.33333333333334,1.0,23.666666666666668,0.04408602150537635,0.714,1
33.0,74.0,225.0,13.0,180.0,1.0,2.0,31.0,74.2,5.8,72.0,170.66666666666666,1.0,27.333333333333332,0.038172043010752686,0.7280000000000001,1
33.0,74.0,225.0,13.0,180.0,1.0,2.0,31.0,74.2,5.8,72.0,180.0,1.0,31.0,0.03225806451612903,0.742,1
33.0,74.0,225.0,13.0,98.0,0.0,3.0,27.0,48.1,3.6,17.7,180.0,1.0,31.0,0.03225806451612903,0.742,0
33.0,74.0,225.0,13.0,98.0,0.0,3.0,27.0,48.1,3.6,17.7,152.66666666666666,0.6666666666666666,29.666666666666668,0.02150537634408602,0.655,0
33.0,74.0,225.0,13.0,98.0,0.0,3.0,27.0,48.1,3.6,17.7,125.33333333333333,0.3333333333333333,28.333333333333332,0.01075268817204301,0.5680000000000001,0
33.0,74.0,225.0,13.0,98.0,0.0,3.0,27.0,48.1,3.6,17.7,98.0,0.0,27.0,0.0,0.48100000000000004,0
33.0,74.0,225.0,13.0,282.0,2.0,4.0,49.0,57.1,5.8,53.3,98.0,0.0,27.0,0.0,0.48100000000000004,1
33.0,74.0,225.0,13.0,282.0,2.0,4.0,49.0,57.1,5.8,53.3,159.33333333333334,0.6666666666666666,34.333333333333336,0.013605442176870748,0.511,1
33.0,74.0,225.0,13.0,282.0,2.0,4.0,49.0,57.1,5.8,53.3,220.66666666666666,1.3333333333333333,41.666666666666664,0.027210884353741496,0.541,1
33.0,74.0,225.0,13.0,282.0,2.0,4.0,49.0,57.1,5.8,53.3,282.0,2.0,49.0,0.04081632653061224,0.5710000000000001,1
33.0,74.0,225.0,13.0,316.0,3.0,5.0,38.0,60.5,8.3,73.9,282.0,2.0,49.0,0.04081632653061224,0.5710000000000001,1
33.0,74.0,225.0,13.0,316.0,3.0,5.0,38.0,60.5,8.3,73.9,293.3333333333333,2.3333333333333335,45.333333333333336,0.05352667382742571,0.5823333333333333,1
33.0,74.0,225.0,13.0,316.0,3.0,5.0,38.0,60.5,8.3,73.9,304.6666666666667,2.6666666666666665,41.666666666666664,0.06623702112423917,0.5936666666666667,1
33.0,74.0,225.0,13.0,316.0,3.0,5.0,38.0,60.5,8.3,73.9,316.0,3.0,38.0,0.07894736842105263,0.605,1
33.0,74.0,225.0,13.0,231.0,1.0,2.0,34.0,52.9,6.8,59.8,316.0,3.0,38.0,0.07894736842105263,0.605,1
33.0,74.0,225.0,13.0,231.0,1.0,2.0,34.0,52.9,6.8,59.8,287.6666666666667,2.3333333333333335,36.666666666666664,0.06243550051599587,0.5796666666666667,1
33.0,74.0,225.0,13.0,231.0,1.0,2.0,34.0,52.9,6.8,59.8,259.3333333333333,1.6666666666666667,35.333333333333336,0.045923632610939104,0.5543333333333332,1
33.0,74.0,225.0,13.0,231.0,1.0,2.0,34.0,52.9,6.8,59.8,231.0,1.0,34.0,0.029411764705882353,0.529,1
33.0,74.0,225.0,13.0,289.0,4.0,3.0,56.0,53.6,5.2,69.7,231.0,1.0,34.0,0.029411764705882353,0.529,1
33.0,74.0,225.0,13.0,289.0,4.0,3.0,56.0,53.6,5.2,69.7,250.33333333333334,2.0,41.333333333333336,0.0434173669467787,0.5313333333333334,1
33.0,74.0,225.0,13.0,289.0,4.0,3.0,56.0,53.6,5.2,69.7,269.6666666666667,3.0,48.666666666666664,0.05742296918767506,0.5336666666666666,1
33.0,74.0,225.0,13.0,289.0,4.0,3.0,56.0,53.6,5.2,69.7,289.0,4.0,56.0,0.07142857142857142,0.536,1
33.0,74.0,225.0,13.0,230.0,1.0,2.0,42.0,64.3,5.5,66.6,289.0,4.0,56.0,0.07142857142857142,0.536,1
33.0,74.0,225.0,13.0,230.0,1.0,2.0,42.0,64.3,5.5,66.6,269.3333333333333,3.0,51.333333333333336,0.05555555555555555,0.5716666666666668,1
33.0,74.0,225.0,13.0,230.0,1.0,2.0,42.0,64.3,5.5,66.6,249.66666666666666,2.0,46.666666666666664,0.03968253968253967,0.6073333333333334,1
33.0,74.0,225.0,13.0,230.0,1.0,2.0,42.0,64.3,5.5,66.6,230.0,1.0,42.0,0.023809523809523808,0.643,1
33.0,74.0,225.0,13.0,245.0,0.0,1.0,37.0,64.9,6.6,72.5,230.0,1.0,42.0,0.023809523809523808,0.643,0
33.0,74.0,225.0,13.0,245.0,0.0,1.0,37.0,64.9,6.6,72.5,235.0,0.6666666666666666,40.333333333333336,0.01587301587301587,0.645,0
33.0,74.0,225.0,13.0,245.0,0.0,1.0,37.0,64.9,6.6,72.5,240.0,0.3333333333333333,38.666666666666664,0.00793650793650793,0.6469999999999999,0
33.0,74.0,225.0,13.0,245.0,0.0,1.0,37.0,64.9,6.6,72.5,245.0,0.0,37.0,0.0,0.649,0
33.0,74.0,225.0,13.0,211.0,1.0,3.0,27.0,66.7,7.8,63.0,245.0,0.0,37.0,0.0,0.649,1
33.0,74.0,225.0,13.0,211.0,1.0,3.0,27.0,66.7,7.8,63.0,233.66666666666666,0.3333333333333333,33.666666666666664,0.012345679012345673,0.6550000000000001,1
33.0,74.0,225.0,13.0,211.0,1.0,3.0,27.0,66.7,7.8,63.0,222.33333333333334,0.6666666666666666,30.333333333333332,0.024691358024691353,0.661,1
33.0,74.0,225.0,13.0,211.0,1.0,3.0,27.0,66.7,7.8,63.0,211.0,1.0,27.0,0.037037037037037035,0.667,1
33.0,74.0,225.0,13.0,139.0,2.0,0.0,32.0,56.3,4.3,87.9,211.0,1.0,27.0,0.037037037037037035,0.667,1
33.0,74.0,225.0,13.0,139.0,2.0,0.0,32.0,56.3,4.3,87.9,187.0,1.3333333333333333,28.666666666666668,0.04552469135802469,0.6323333333333334,1
33.0,74.0,225.0,13.0,139.0,2.0,0.0,32.0,56.3,4.3,87.9,163.0,1.6666666666666667,30.333333333333332,0.05401234567901234,0.5976666666666666,1
33.0,74.0,225.0,13.0,139.0,2.0,0.0,32.0,56.3,4.3,87.9,139.0,2.0,32.0,0.0625,0.563,1
33.0,74.0,225.0,13.0,262.0,3.0,0.0,43.0,60.5,6.1,101.1,139.0,2.0,32.0,0.0625,0.563,1
33.0,74.0,225.0,13.0,262.0,3.0,0.0,43.0,60.5,6.1,101.1,180.0,2.3333333333333335,35.666666666666664,0.06492248062015503,0.577,1
33.0,74.0,225.0,13.0,262.0,3.0,0.0,43.0,60.5,6.1,101.1,221.0,2.6666666666666665,39.333333333333336,0.06734496124031007,0.5909999999999999,1
33.0,74.0,225.0,13.0,262.0,3.0,0.0,43.0,60.5,6.1,101.1,262.0,3.0,43.0,0.06976744186046512,0.605,1
33.0,74.0,225.0,13.0,147.0,2.0,1.0,31.0,51.6,4.7,72.9,262.0,3.0,43.0,0.06976744186046512,0.605,1
33.0,74.0,225.0,13.0,147.0,2.0,1.0,31.0,51.6,4.7,72.9,223.66666666666666,2.6666666666666665,39.0,0.06801700425106276,0.5753333333333334,1
33.0,74.0,225.0,13.0,147.0,2.0,1.0,31.0,51.6,4.7,72.9,185.33333333333334,2.3333333333333335,35.0,0.0662665666416604,0.5456666666666666,1
33.0,74.0,225.0,13.0,147.0,2.0,1.0,31.0,51.6,4.7,72.9,147.0,2.0,31.0,0.06451612903225806,0.516,1
33.0,74.0,225.0,13.0,274.0,2.0,0.0,37.0,73.0,7.4,111.8,147.0,2.0,31.0,0.06451612903225806,0.516,1
33.0,74.0,225.0,13.0,274.0,2.0,0.0,37.0,73.0,7.4,111.8,189.33333333333334,2.0,33.0,0.06102877070619006,0.5873333333333334,1
33.0,74.0,225.0,13.0,274.0,2.0,0.0,37.0,73.0,7.4,111.8,231.66666666666666,2.0,35.0,0.05754141238012206,0.6586666666666666,1
33.0,74.0,225.0,13.0,274.0,2.0,0.0,37.0,73.0,7.4,111.8,274.0,2.0,37.0,0.05405405405405406,0.73,1
33.0,74.0,225.0,13.0,272.0,0.0,2.0,46.0,52.2,5.9,52.1,274.0,2.0,37.0,0.05405405405405406,0.73,0
33.0,74.0,225.0,13.0,272.0,0.0,2.0,46.0,52.2,5.9,52.1,273.3333333333333,1.3333333333333333,40.0,0.036036036036036036,0.6606666666666667,0
33.0,74.0,225.0,13.0,272.0,0.0,2.0,46.0,52.2,5.9,52.1,272.6666666666667,0.6666666666666666,43.0,0.018018018018018014,0.5913333333333334,0
33.0,74.0,225.0,13.0,272.0,0.0,2.0,46.0,52.2,5.9,52.1,272.0,0.0,46.0,0.0,0.522,0
33.0,74.0,225.0,13.0,249.0,2.0,1.0,33.0,69.7,7.5,99.2,272.0,0.0,46.0,0.0,0.522,1
33.0,74.0,225.0,13.0,249.0,2.0,1.0,33.0,69.7,7.5,99.2,264.3333333333333,0.6666666666666666,41.666666666666664,0.020202020202020197,0.5803333333333334,1
33.0,74.0,225.0,13.0,249.0,2.0,1.0,33.0,69.7,7.5,99.2,256.6666666666667,1.3333333333333333,37.333333333333336,0.0404040404040404,0.6386666666666666,1
33.0,74.0,225.0,13.0,249.0,2.0,1.0,33.0,69.7,7.5,99.2,249.0,2.0,33.0,0.06060606060606061,0.6970000000000001,1
33.0,74.0,225.0,13.0,288.0,2.0,1.0,30.0,70.0,9.6,108.8,249.0,2.0,33.0,0.06060606060606061,0.6970000000000001,1
33.0,74.0,225.0,13.0,288.0,2.0,1.0,30.0,70.0,9.6,108.8,262.0,2.0,32.0,0.06262626262626263,0.6980000000000001,1
33.0,74.0,225.0,13.0,288.0,2.0,1.0,30.0,70.0,9.6,108.8,275.0,2.0,31.0,0.06464646464646463,0.699,1
33.0,74.0,225.0,13.0,288.0,2.0,1.0,30.0,70.0,9.6,108.8,288.0,2.0,30.0,0.06666666666666667,0.7,1
33.0,74.0,225.0,13.0,210.0,0.0,0.0,30.0,60.0,7.0,81.2,288.0,2.0,30.0,0.06666666666666667,0.7,0
33.0,74.0,225.0,13.0,210.0,0.0,0.0,30.0,60.0,7.0,81.2,262.0,1.3333333333333333,30.0,0.04444444444444443,0.6666666666666666,0
33.0,74.0,225.0,13.0,210.0,0.0,0.0,30.0,60.0,7.0,81.2,236.0,0.6666666666666666,30.0,0.022222222222222216,0.6333333333333333,0
33.0,74.0,225.0,13.0,210.0,0.0,0.0,30.0,60.0,7.0,81.2,210.0,0.0,30.0,0.0,0.6,0
33.0,74.0,225.0,13.0,47.0,0.0,0.0,16.0,43.8,2.9,51.0,210.0,0.0,30.0,0.0,0.6,0
33.0,74.0,225.0,13.0,47.0,0.0,0.0,16.0,43.8,2.9,51.0,155.66666666666666,0.0,25.333333333333332,0.0,0.5459999999999999,0
33.0,74.0,225.0,13.0,47.0,0.0,0.0,16.0,43.8,2.9,51.0,101.33333333333333,0.0,20.666666666666668,0.0,0.492,0
33.0,74.0,225.0,13.0,47.0,0.0,0.0,16.0,43.8,2.9,51.0,47.0,0.0,16.0,0.0,0.43799999999999994,0
33.0,74.0,225.0,13.0,221.0,1.0,0.0,23.0,65.2,9.6,111.0,47.0,0.0,16.0,0.0,0.43799999999999994,1
33.0,74.0,225.0,13.0,221.0,1.0,0.0,23.0,65.2,9.6,111.0,105.0,0.3333333333333333,18.333333333333332,0.0144927536231884,0.5093333333333333,1
33.0,74.0,225.0,13.0,221.0,1.0,0.0,23.0,65.2,9.6,111.0,163.0,0.6666666666666666,20.666666666666668,0.028985507246376805,0.5806666666666667,1
33.0,74.0,225.0,13.0,221.0,1.0,0.0,23.0,65.2,9.6,111.0,221.0,1.0,23.0,0.043478260869565216,0.652,1
33.0,74.0,225.0,13.0,195.0,1.0,0.0,18.0,94.4,10.8,130.3,221.0,1.0,23.0,0.043478260869565216,0.652,1
33.0,74.0,225.0,13.0,195.0,1.0,0.0,18.0,94.4,10.8,130.3,212.33333333333334,1.0,21.333333333333332,0.04750402576489532,0.7493333333333334,1
33.0,74.0,225.0,13.0,195.0,1.0,0.0,18.0,94.4,10.8,130.3,203.66666666666666,1.0,19.666666666666668,0.05152979066022543,0.8466666666666667,1
33.0,74.0,225.0,13.0,195.0,1.0,0.0,18.0,94.4,10.8,130.3,195.0,1.0,18.0,0.05555555555555555,0.9440000000000001,1
33.0,74.0,225.0,13.0,137.0,1.0,3.0,30.0,60.0,4.6,42.6,195.0,1.0,18.0,0.05555555555555555,0.9440000000000001,1
33.0,74.0,225.0,13.0,137.0,1.0,3.0,30.0,60.0,4.6,42.6,175.66666666666666,1.0,22.0,0.04814814814814814,0.8293333333333334,1
33.0,74.0,225.0,13.0,137.0,1.0,3.0,30.0,60.0,4.6,42.6,156.33333333333334,1.0,26.0,0.04074074074074074,0.7146666666666667,1
33.0,74.0,225.0,13.0,137.0,1.0,3.0,30.0,60.0,4.6,42.6,137.0,1.0,30.0,0.03333333333333333,0.6,1
33.0,74.0,225.0,13.0,235.0,2.0,3.0,26.0,61.5,9.0,77.1,137.0,1.0,30.0,0.03333333333333333,0.6,1
33.0,74.0,225.0,13.0,235.0,2.0,3.0,26.0,61.5,9.0,77.1,169.66666666666666,1.3333333333333333,28.666666666666668,0.04786324786324786,0.605,1
33.0,74.0,225.0,13.0,235.0,2.0,3.0,26.0,61.5,9.0,77.1,202.33333333333334,1.6666666666666667,27.333333333333332,0.062393162393162394,0.61,1
33.0,74.0,225.0,13.0,235.0,2.0,3.0,26.0,61.5,9.0,77.1,235.0,2.0,26.0,0.07692307692307693,0.615,1
33.0,74.0,225.0,13.0,108.0,0.0,2.0,26.0,38.5,4.2,19.4,235.0,2.0,26.0,0.07692307692307693,0.615,0
33.0,74.0,225.0,13.0,108.0,0.0,2.0,26.0,38.5,4.2,19.4,192.66666666666666,1.3333333333333333,26.0,0.05128205128205129,0.5383333333333333,0
33.0,74.0,225.0,13.0,108.0,0.0,2.0,26.0,38.5,4.2,19.4,150.33333333333334,0.6666666666666666,26.0,0.025641025641025637,0.46166666666666667,0
33.0,74.0,225.0,13.0,108.0,0.0,2.0,26.0,38.5,4.2,19.4,108.0,0.0,26.0,0.0,0.385,0
33.0,74.0,225.0,13.0,201.0,0.0,1.0,30.0,53.3,6.7,60.6,108.0,0.0,26.0,0.0,0.385,0
33.0,74.0,225.0,13.0,201.0,0.0,1.0,30.0,53.3,6.7,60.6,139.0,0.0,27.333333333333332,0.0,0.4343333333333333,0
33.0,74.0,225.0,13.0,201.0,0.0,1.0,30.0,53.3,6.7,60.6,170.0,0.0,28.666666666666668,0.0,0.48366666666666663,0
